Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Returned,Return_Probability,Risk_Level
Clothing,411.59,3,Changed mind,Returned,387.0,58,Male,City54,Debit Card,Next-Day,45.27,1,0.4963152833087672,Medium
Books,288.88,3,Wrong item,Returned,31.0,68,Female,City85,Credit Card,Express,47.79,1,0.49277771393702635,Medium
Electronics,252.12,1,Defective,Returned,221.0,46,Female,City47,Debit Card,Next-Day,47.61,1,0.47181454066470235,Medium
Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,City50,Credit Card,Express,28.49,1,0.4802944880320384,Medium
Electronics,306.39,3,Not as described,Returned,539.0,67,Female,City39,Credit Card,Express,38.91,1,0.4519732530364337,Medium
Home,302.4,5,Defective,Returned,-91.0,54,Male,City81,Debit Card,Standard,18.5,1,0.48773412274186917,Medium
Clothing,294.94,3,Not as described,Returned,317.0,44,Male,City82,Credit Card,Standard,45.21,1,0.49701687754393403,Medium
Electronics,370.08,2,Wrong item,Returned,-303.0,24,Female,City27,Credit Card,Standard,23.99,1,0.510933401715295,Medium
Electronics,400.12,1,Defective,Returned,120.0,33,Male,City33,PayPal,Standard,18.25,1,0.506409281991717,Medium
Books,358.31,1,Changed mind,Returned,-569.0,51,Female,City43,PayPal,Standard,11.84,1,0.547899472979067,Medium
Electronics,227.94,5,Changed mind,Returned,-66.0,50,Female,City64,Debit Card,Express,43.86,1,0.4829904737305484,Medium
Books,85.69,2,Changed mind,Returned,-418.0,30,Female,City26,Debit Card,Standard,24.58,1,0.4431437277463641,Medium
Books,227.2,5,Wrong item,Returned,-304.0,65,Female,City90,Gift Card,Next-Day,27.94,1,0.44578679112137404,Medium
Electronics,57.14,2,Wrong item,Returned,-159.0,41,Female,City28,Gift Card,Standard,43.06,1,0.4653483698804454,Medium
Toys,106.6,5,Defective,Returned,113.0,53,Male,City69,Credit Card,Standard,18.42,1,0.47863461447863853,Medium
Home,335.28,4,Wrong item,Returned,-169.0,18,Male,City20,Debit Card,Next-Day,25.37,1,0.491379574728872,Medium
Electronics,115.82,5,Defective,Returned,-131.0,54,Female,City43,Credit Card,Express,23.76,1,0.5376737420429085,Medium
Clothing,246.15,1,Wrong item,Returned,454.0,31,Female,City62,Gift Card,Standard,23.63,1,0.5230460284518866,Medium
Toys,266.34,4,Wrong item,Returned,-8.0,44,Female,City60,PayPal,Standard,30.88,1,0.5021212771428197,Medium
Books,334.27,4,Changed mind,Returned,-353.0,69,Male,City81,PayPal,Express,43.44,1,0.49089293206084417,Medium
Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,City41,Credit Card,Next-Day,42.07,1,0.46207020804768467,Medium
Toys,294.18,2,Changed mind,Returned,-283.0,69,Male,City89,Gift Card,Next-Day,32.7,1,0.49632312943854434,Medium
Home,97.31,2,Changed mind,Returned,292.0,53,Female,City49,Debit Card,Next-Day,10.96,1,0.5090636210409718,Medium
Home,335.96,2,Wrong item,Returned,-215.0,63,Male,City5,Credit Card,Standard,19.05,1,0.509232734243551,Medium
Electronics,344.31,4,Not as described,Returned,-155.0,36,Male,City68,Credit Card,Express,10.99,1,0.5219027477460837,Medium
Books,23.6,1,Defective,Returned,403.0,37,Female,City12,Credit Card,Next-Day,6.53,1,0.5149388294727705,Medium
Clothing,359.9,3,Defective,Returned,-296.0,55,Female,City23,Debit Card,Standard,3.01,1,0.5093798414523958,Medium
Home,352.93,4,Changed mind,Returned,-19.0,34,Male,City31,Gift Card,Express,22.83,1,0.505910550787884,Medium
Books,301.68,2,Changed mind,Returned,-378.0,47,Male,City16,PayPal,Standard,30.59,1,0.5020847347648386,Medium
Books,389.83,4,Wrong item,Returned,-245.0,40,Female,City44,Gift Card,Express,12.23,1,0.5024307988090638,Medium
Books,429.41,3,Wrong item,Returned,-477.0,53,Male,City44,Debit Card,Next-Day,13.22,1,0.4922362484056666,Medium
Toys,280.61,2,Defective,Returned,111.0,32,Male,City92,Debit Card,Express,2.34,1,0.44453624188311025,Medium
Toys,227.79,3,Not as described,Returned,-161.0,70,Female,City31,Gift Card,Next-Day,27.11,1,0.5150664445832346,Medium
Electronics,394.08,3,Wrong item,Returned,216.0,62,Male,City28,Credit Card,Next-Day,12.27,1,0.4590839397515842,Medium
Toys,87.17,4,Defective,Returned,-338.0,46,Female,City50,Gift Card,Express,32.02,1,0.48794212245057406,Medium
Electronics,332.39,5,Not as described,Returned,256.0,36,Male,City53,Debit Card,Next-Day,24.31,1,0.520550981110124,Medium
Books,185.34,2,Not as described,Returned,287.0,31,Female,City34,PayPal,Standard,36.01,1,0.5043086099151223,Medium
Toys,64.29,2,Not as described,Returned,461.0,39,Male,City57,Debit Card,Express,47.4,1,0.48001639955264236,Medium
Clothing,429.47,5,Defective,Returned,-190.0,39,Male,City10,Gift Card,Standard,44.36,1,0.5181449232153014,Medium
Electronics,496.22,5,Changed mind,Returned,167.0,67,Male,City36,Gift Card,Next-Day,32.87,1,0.5057412429393829,Medium
Electronics,52.19,1,Not as described,Returned,503.0,21,Female,City100,Debit Card,Standard,35.14,1,0.5293005277264565,Medium
Electronics,78.94,2,Changed mind,Returned,-76.0,23,Female,City1,Credit Card,Express,49.94,1,0.4830336627172696,Medium
Toys,99.21,1,Not as described,Returned,-136.0,29,Female,City17,PayPal,Next-Day,30.21,1,0.533682742955559,Medium
Home,394.71,4,Changed mind,Returned,148.0,66,Female,City25,Gift Card,Next-Day,16.01,1,0.5096182120547881,Medium
Home,230.9,2,Defective,Returned,338.0,69,Male,City10,Credit Card,Next-Day,26.62,1,0.5078279711658734,Medium
Toys,496.31,4,Defective,Returned,143.0,53,Male,City88,Gift Card,Next-Day,10.15,1,0.49371441645236896,Medium
Toys,104.39,2,Defective,Returned,-237.0,58,Female,City46,Credit Card,Standard,28.68,1,0.5021846002636771,Medium
Books,46.61,1,Wrong item,Returned,389.0,42,Male,City12,Credit Card,Next-Day,8.9,1,0.513034256495275,Medium
Books,169.93,5,Wrong item,Returned,111.0,40,Male,City40,Credit Card,Next-Day,27.73,1,0.5257793048051786,Medium
Home,35.16,3,Defective,Returned,197.0,48,Female,City27,PayPal,Next-Day,3.9,1,0.5321975228205712,Medium
Books,448.84,2,Changed mind,Returned,-152.0,60,Male,City20,Gift Card,Express,26.3,1,0.4884038800432023,Medium
Home,315.11,5,Defective,Returned,-337.0,50,Female,City71,PayPal,Express,37.68,1,0.5231038602319681,Medium
Clothing,259.57,2,Not as described,Returned,-402.0,55,Female,City90,Credit Card,Next-Day,40.28,1,0.44231458355138403,Medium
Toys,197.66,4,Not as described,Returned,-372.0,59,Female,City9,Credit Card,Next-Day,42.31,1,0.5077280548111339,Medium
Books,79.9,4,Defective,Returned,293.0,42,Female,City73,PayPal,Express,22.19,1,0.5123791723040433,Medium
Electronics,265.23,4,Changed mind,Returned,226.0,57,Male,City89,Credit Card,Next-Day,49.85,1,0.4909425794045494,Medium
Books,91.84,2,Not as described,Returned,-156.0,56,Female,City7,Credit Card,Next-Day,31.58,1,0.5227881841905385,Medium
Books,245.44,5,Changed mind,Returned,66.0,29,Female,City34,PayPal,Standard,25.44,1,0.500050391467576,Medium
Electronics,490.8,2,Changed mind,Returned,-245.0,37,Female,City23,Credit Card,Express,43.37,1,0.4896488101051881,Medium
Books,219.29,2,Changed mind,Returned,-227.0,56,Male,City6,Credit Card,Express,32.59,1,0.4674577535929544,Medium
Electronics,174.94,1,Defective,Returned,566.0,62,Female,City48,PayPal,Next-Day,22.43,1,0.5003742018979593,Medium
Books,18.83,1,Wrong item,Returned,-20.0,27,Male,City26,Gift Card,Standard,1.57,1,0.45670978743674917,Medium
Electronics,291.09,4,Changed mind,Returned,-320.0,19,Female,City14,Debit Card,Express,8.37,1,0.5114649316636153,Medium
Toys,386.51,1,Wrong item,Returned,139.0,27,Male,City50,Credit Card,Standard,10.19,1,0.48224150042660385,Medium
Electronics,285.21,4,Not as described,Returned,-186.0,32,Male,City44,Debit Card,Next-Day,40.21,1,0.4959158322619882,Medium
Books,16.55,4,Changed mind,Returned,-179.0,21,Female,City32,Credit Card,Express,22.61,1,0.4905995365592232,Medium
Home,161.94,5,Changed mind,Returned,-360.0,68,Female,City61,Gift Card,Standard,35.96,1,0.471589081981473,Medium
Clothing,173.42,1,Wrong item,Returned,289.0,33,Female,City34,Gift Card,Express,26.04,1,0.49066254265057957,Medium
Toys,288.71,3,Defective,Returned,-79.0,60,Male,City57,Credit Card,Express,42.11,1,0.47596676386772735,Medium
Books,402.79,2,Wrong item,Returned,-556.0,23,Female,City37,PayPal,Next-Day,2.22,1,0.5273917899468856,Medium
Clothing,444.83,1,Defective,Returned,-622.0,20,Female,City2,PayPal,Express,26.84,1,0.5296782954546703,Medium
Books,332.49,4,Changed mind,Returned,-515.0,66,Female,City43,Credit Card,Express,34.21,1,0.5249385668511887,Medium
Clothing,217.79,4,Defective,Returned,345.0,40,Male,City62,PayPal,Express,34.27,1,0.5315200994637262,Medium
Clothing,434.66,2,Not as described,Returned,329.0,19,Female,City81,Debit Card,Standard,49.39,1,0.48612532306849837,Medium
Toys,231.11,5,Changed mind,Returned,-476.0,40,Female,City6,Credit Card,Next-Day,21.38,1,0.47521961267033086,Medium
Toys,291.43,4,Defective,Returned,506.0,22,Male,City73,PayPal,Express,8.13,1,0.5127251446263477,Medium
Electronics,128.65,1,Changed mind,Returned,122.0,37,Female,City62,Debit Card,Next-Day,1.9,1,0.5125782125179207,Medium
Books,396.48,5,Wrong item,Returned,305.0,69,Male,City36,Debit Card,Express,39.19,1,0.5012987258672981,Medium
Books,324.85,5,Defective,Returned,-352.0,51,Female,City66,Debit Card,Express,20.53,1,0.4787042662587543,Medium
Books,458.16,5,Defective,Returned,-287.0,24,Female,City58,PayPal,Express,5.2,1,0.5489969973472141,Medium
Clothing,118.2,5,Changed mind,Returned,160.0,32,Male,City93,Gift Card,Standard,43.34,1,0.47311087039159444,Medium
Home,138.23,2,Wrong item,Returned,198.0,28,Female,City95,PayPal,Express,42.31,1,0.5051426987177123,Medium
Toys,47.05,3,Not as described,Returned,80.0,43,Female,City29,Gift Card,Express,45.62,1,0.542734608726989,Medium
Toys,9.03,5,Not as described,Returned,481.0,39,Male,City35,Credit Card,Standard,37.1,1,0.48950887910702673,Medium
Clothing,381.39,1,Changed mind,Returned,-230.0,24,Female,City75,Debit Card,Next-Day,45.86,1,0.4740309203427984,Medium
Electronics,80.81,5,Not as described,Returned,-373.0,61,Male,City23,Gift Card,Standard,30.75,1,0.5153557157296048,Medium
Electronics,244.32,5,Not as described,Returned,-353.0,56,Female,City40,PayPal,Standard,27.21,1,0.5574421484844212,Medium
Clothing,69.89,4,Wrong item,Returned,330.0,41,Male,City27,Credit Card,Express,32.4,1,0.5101316300445691,Medium
Toys,340.06,3,Not as described,Returned,209.0,56,Female,City92,Credit Card,Next-Day,27.27,1,0.4460179142807794,Medium
Toys,191.81,4,Changed mind,Returned,-153.0,34,Female,City79,Debit Card,Express,7.94,1,0.5105097096425599,Medium
Clothing,360.81,3,Wrong item,Returned,-401.0,61,Male,City10,PayPal,Next-Day,49.0,1,0.5256900583373197,Medium
Home,142.79,1,Not as described,Returned,-185.0,56,Male,City6,PayPal,Next-Day,19.22,1,0.4993345498162534,Medium
Clothing,356.89,2,Defective,Returned,242.0,36,Female,City33,Debit Card,Standard,32.57,1,0.48911650557599246,Medium
Toys,323.29,1,Not as described,Returned,-250.0,55,Male,City61,Gift Card,Express,40.46,1,0.46870315065680457,Medium
Clothing,136.22,2,Wrong item,Returned,-243.0,20,Female,City4,Credit Card,Express,25.96,1,0.4907079682888557,Medium
Electronics,6.5,5,Wrong item,Returned,-320.0,51,Male,City74,Credit Card,Express,23.83,1,0.48773098996943387,Medium
Clothing,362.81,5,Not as described,Returned,421.0,37,Male,City12,Gift Card,Express,21.11,1,0.528137765051171,Medium
Electronics,358.69,5,Wrong item,Returned,-272.0,68,Female,City37,Gift Card,Standard,49.22,1,0.5155458471176982,Medium
Books,198.21,2,Not as described,Returned,-303.0,67,Female,City59,Debit Card,Next-Day,47.3,1,0.4787961617968783,Medium
Toys,54.72,5,Not as described,Returned,-354.0,69,Male,City2,Debit Card,Next-Day,7.16,1,0.5211952957747339,Medium
Electronics,488.4,3,Not as described,Returned,194.0,51,Female,City90,Debit Card,Standard,19.88,1,0.4481814139666002,Medium
Books,270.92,1,Defective,Returned,204.0,36,Female,City27,PayPal,Standard,19.62,1,0.5263821703048561,Medium
Clothing,393.44,3,Not as described,Returned,-261.0,52,Male,City7,Gift Card,Standard,33.6,1,0.5337455178743824,Medium
Clothing,128.35,3,Not as described,Returned,13.0,37,Male,City64,Gift Card,Standard,15.47,1,0.5052215607347024,Medium
Toys,144.86,4,Changed mind,Returned,228.0,64,Male,City22,Debit Card,Next-Day,7.51,1,0.473771511556481,Medium
